MANDT,MATNR,SPRAS,MAKTX,MAKTG
1,.,EN,S7521 S621A1001102\FERRURE EXTREMITE,S7521 S621A1001102\FERRURE EXTREMITE
1,00-10001-01-CI,EN,00-10001-01-CI\EC120 B BASELINE AIRCRAFT,00-10001-01-CI\EC120 B BASELINE AIRCRAFT
1,00-10003-01-CI,EN,00-10003-01-CI\AS350 B2 BASELINE AIRCRAF,00-10003-01-CI\AS350 B2 BASELINE AIRCRAF
1,00-10003-02-CI,EN,00-10003-02-CI\AS350 B2 BASELINE AIRCRAF,00-10003-02-CI\AS350 B2 BASELINE AIRCRAF
1,00-10004-01-CI,EN,00-10004-01-CI\AS350 B3E BASELINE AIRCRA,00-10004-01-CI\AS350 B3E BASELINE AIRCRA
1,00-10004-03-CI,EN,00-10004-03-CI\AS350 B3E BASELINE AIRCRA,00-10004-03-CI\AS350 B3E BASELINE AIRCRA
1,00-10010-03-CI,EN,00-10010-03-CI\EC130 T2 BASELINE AIRCRAF,00-10010-03-CI\EC130 T2 BASELINE AIRCRAF
1,00-10010-04-CI,EN,00-10010-04-CI\EC130 T2 BASELINE AIRCRAF,00-10010-04-CI\EC130 T2 BASELINE AIRCRAF
1,00-10013-01-CI,EN,00-10013-01-CI\AS365 N3+  BASELINE AIRCR,00-10013-01-CI\AS365 N3+  BASELINE AIRCR
1,00-10013-02-CI,EN,00-10013-02-CI\AS365 N3+  BASELINE AIRCR,00-10013-02-CI\AS365 N3+  BASELINE AIRCR
1,00-10013-03-CI,EN,00-10013-03-CI\AS365 N3+  BASELINE AIRCR,00-10013-03-CI\AS365 N3+  BASELINE AIRCR
1,00-10013-04-CI,EN,00-10013-04-CI\365 N3+ 15.100.01 E BASEL,00-10013-04-CI\365 N3+ 15.100.01 E BASEL
1,00-10015-00-CI,EN,00-10015-00-CI\AS565 MB BASELINE AIRCRAF,00-10015-00-CI\AS565 MB BASELINE AIRCRAF
1,00-10019-00-CI,EN,00-10019-00-CI\EC155 B1 BASELINE AIRCRAF,00-10019-00-CI\EC155 B1 BASELINE AIRCRAF
1,00-10019-01-CI,EN,00-10019-01-CI\EC155 B1 BASELINE AIRCRAF,00-10019-01-CI\EC155 B1 BASELINE AIRCRAF
1,00-10019-03-CI,EN,00-10019-03-CI\155 B1 15.100.01 E,00-10019-03-CI\155 B1 15.100.01 E
1,00-10025-01-CI,EN,00-10025-01-CI\AS532 ALE BASELINE AIRCRA,00-10025-01-CI\AS532 ALE BASELINE AIRCRA
1,00-10025-02-CI,EN,00-10025-02-CI\H215M BASELINE AIRCRAFT,00-10025-02-CI\H215M BASELINE AIRCRAFT
1,00-10025-03-CI,EN,00-10025-03-CI\H215M BASELINE AIRCRAFT,00-10025-03-CI\H215M BASELINE AIRCRAFT
1,00-10029-00-CI,EN,00-10029-00-CI\EC225 BASELINE AIRCRAFT,00-10029-00-CI\EC225 BASELINE AIRCRAFT
1,00-10030-00-CI,EN,00-10030-00-CI\EC725 BASELINE AIRCRAFT,00-10030-00-CI\EC725 BASELINE AIRCRAFT
1,00-10030-01-CI,EN,00-10030-01-CI\H225M BASELINE AIRCRAFT (,00-10030-01-CI\H225M BASELINE AIRCRAFT (
1,00-10030-02-CI,EN,00-10030-02-CI\H225M BASELINE AIRCRAFT,00-10030-02-CI\H225M BASELINE AIRCRAFT
1,00-10030-03-CI,EN,00-10030-03-CI\H225M BASELINE AIRCRAFT (,00-10030-03-CI\H225M BASELINE AIRCRAFT (
1,00-10030-04-CI,EN,00-10030-04-CI\H225M BASELINE AIRCRAFT (,00-10030-04-CI\H225M BASELINE AIRCRAFT (
1,00-10032-01-CI,EN,00-10032-01-CI\AS355 NP BASELINE AIRCRAF,00-10032-01-CI\AS355 NP BASELINE AIRCRAF
1,00-10032-02-CI,EN,00-10032-02-CI\AS355 NP BASELINE AIRCRAF,00-10032-02-CI\AS355 NP BASELINE AIRCRAF
1,00-10035-00-CI,EN,00-10035-00-CI\EC175 BASELINE AIRCRAFT (,00-10035-00-CI\EC175 BASELINE AIRCRAFT (
1,00-10035-01-CI,EN,00-10035-01-CI\EC175 BASELINE AIRCRAFT (,00-10035-01-CI\EC175 BASELINE AIRCRAFT (
1,00-10035-04-CI,EN,00-10035-04-CI\EC175 BASELINE AIRCRAFT (,00-10035-04-CI\EC175 BASELINE AIRCRAFT (
1,00-10035-05-CI,EN,00-10035-05-CI\EC175 BASELINE AIRCRAFT (,00-10035-05-CI\EC175 BASELINE AIRCRAFT (
1,00-10035-07-CI,EN,00-10035-07-CI\H175 BASELINE AIRCRAFT,00-10035-07-CI\H175 BASELINE AIRCRAFT
1,00-10037-00-CI,EN,00-10037-00-CI\AS332 L1E BASELINE AIRCRA,00-10037-00-CI\AS332 L1E BASELINE AIRCRA
1,00-10037-02-CI,EN,00-10037-02-CI\H215 BASELINE AIRCRAFT,00-10037-02-CI\H215 BASELINE AIRCRAFT
1,00-10037-03-CI,EN,00-10037-03-CI\H215 BASELINE AIRCRAFT,00-10037-03-CI\H215 BASELINE AIRCRAFT
1,00-10037-05-CI,EN,00-10037-05-CI\H215 BASELINE AIRCRAFT (2,00-10037-05-CI\H215 BASELINE AIRCRAFT (2
1,00-10038-00-CI,EN,00-10038-00-CI\AS332 C1E BASELINE AIRCRA,00-10038-00-CI\AS332 C1E BASELINE AIRCRA
1,00-10038-01-CI,EN,00-10038-01-CI\AS332 C1E BASELINE AIRCRA,00-10038-01-CI\AS332 C1E BASELINE AIRCRA
1,00-10038-02-CI,EN,00-10038-02-CI\H215 BASELINE AIRCRAFT,00-10038-02-CI\H215 BASELINE AIRCRAFT
1,00-10044-00-CI,EN,00-10044-00-CI\AS365 N3E  BASELINE AIRCR,00-10044-00-CI\AS365 N3E  BASELINE AIRCR
1,00-10045-00-CI,EN,00-10045-00-CI\AS565 MBE  BASELINE AIRCR,00-10045-00-CI\AS565 MBE  BASELINE AIRCR
1,00-10045-02-CI,EN,00-10045-02-CI\BASELINE AIRCRAFT (565 MB,00-10045-02-CI\BASELINE AIRCRAFT (565 MB
1,00-10047-00-CI,EN,00-10047-00-CI\EC225E BASELINE AIRCRAFT,00-10047-00-CI\EC225E BASELINE AIRCRAFT
1,00-10047-04-CI,EN,00-10047-04-CI\H225 BASELINE AIRCRAFT (2,00-10047-04-CI\H225 BASELINE AIRCRAFT (2
1,00-10049-00-CI,EN,00-10049-00-CI\H160 FAVORITE COMMONALITI,00-10049-00-CI\H160 FAVORITE COMMONALITI
1,00-10049-01-CI,EN,00-10049-01-CI\H160 BASELINE AIRCRAFT (1,00-10049-01-CI\H160 BASELINE AIRCRAFT (1
1,00-10049-02-CI,EN,00-10049-02-CI\H160 COMMON CONFIGURATION,00-10049-02-CI\H160 COMMON CONFIGURATION
1,00-10JCG-04-CI,EN,00-10JCG-04-CI\BASELINE JCG12&13,00-10JCG-04-CI\BASELINE JCG12&13
1,00-10POL-00-CI,EN,00-10POL-00-CI\EC725 BASELINE AIRCRAFT W,00-10POL-00-CI\EC725 BASELINE AIRCRAFT W
1,00-50013-01-CI,EN,00-50013-01-CI\ EC225 OFFSHORE PACKAGE,00-50013-01-CI\ EC225 OFFSHORE PACKAGE
1,00-50014-01-CI,EN,00-50014-01-CI\EC155 B1 STANDARD LEAD TI,00-50014-01-CI\EC155 B1 STANDARD LEAD TI
1,00-50014-02-CI,EN,00-50014-02-CI\EC155 B1 STANDARD LEAD TI,00-50014-02-CI\EC155 B1 STANDARD LEAD TI
1,00-50016-01-CI,EN,00-50016-01-CI\EC155 B1 MINIMUM EQUIPMEN,00-50016-01-CI\EC155 B1 MINIMUM EQUIPMEN
1,00-50021-02-CI,EN,00-50021-02-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-02-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-03-CI,EN,00-50021-03-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-03-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-04-CI,EN,00-50021-04-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-04-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-05-CI,EN,00-50021-05-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-05-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50027-00-CI,EN,00-50027-00-CI\OIL et GAS PACKAGE,00-50027-00-CI\OIL ET GAS PACKAGE
1,00-50027-05-CI,EN,"00-50027-05-CI\""OIL AND GAS"" PACKAGE","00-50027-05-CI\""OIL AND GAS"" PACKAGE"
1,00-50027-06-CI,EN,00-50027-06-CI\OIL & GAS PACKAGE,00-50027-06-CI\OIL & GAS PACKAGE
1,00-50027-07-CI,EN,00-50027-07-CI\OIL AND GAS PACKAGE,00-50027-07-CI\OIL AND GAS PACKAGE
1,00-50027-08-CI,EN,00-50027-08-CI\OIL AND GAS PACKAGE,00-50027-08-CI\OIL AND GAS PACKAGE
