MANDT,EBELN,EBELP,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,BEDNR,MATKL,INFNR
1,60614389,10,F,02/09/2008,9550166140\TRANSMITTER,,,1000,US01,N101,,XAC,
1,60614998,10,F,02/25/2008,JBS880-3/Mixing Valve,,,1000,US01,W1EX,,XAC,
1,60614999,10,F,02/23/2008,JBS880-3/Mixing Valve,,,1000,US01,W1EX,,XAC,
1,60615001,10,F,02/22/2008,P/N: 130100 /CARTRIDGE FUEL PUMP,,,1000,US01,W1EX,,XAC,
1,60615002,10,F,02/22/2008,P/N: 117-45020V002 /DUAL HYD PACK,,,1000,US01,W1EX,,XAC,
1,60615245,10,F,02/26/2008,70BM027300/Module 2,,,1000,US01,W1EX,,XAC,
1,60615468,10,F,02/25/2008,P/N: 117-16010-01 /SHAFT ASSY UNIT,,,1000,US01,N101,,XAC,
1,60615473,10,F,02/25/2008,6103-1004 / Altimeter,,,1000,US01,N101,,XAC,
1,60615474,10,F,02/25/2008,9550166140\TRANSMITTER,,,1000,US01,N101,,XAC,
1,60615487,10,F,02/26/2008,5352-6/ Torquemeter Transmitter,,,1000,US01,W1EX,,XAC,
1,60615488,10,F,02/26/2008,5352-6/ Torquemeter Transmitter,,,1000,US01,W1EX,,XAC,
1,60615489,10,F,02/26/2008,418-00847-000/Yaw actuator,,,1000,US01,W1EX,,XAC,
1,60615490,10,F,02/26/2008,JBS880-3/Mixing Valve,,,1000,US01,W1EX,,XAC,
1,60615511,10,F,02/27/2008,340D20-12/Electro valve,,,1000,US01,W1EX,,XAC,
1,60615512,10,F,02/27/2008,3A43.32.20F.28.4.EE/Altimeter,,,1000,US01,W1EX,,XAC,
1,60615514,10,F,02/27/2008,4649010008/Main Transmission,,,1000,US01,W1EX,,XAC,
1,60615533,10,F,02/29/2008,625614-1-1 /TEMP SENSOR,,,1000,US01,W1EX,,XAC,
1,60615580,10,F,02/27/2008,JBS880-3/Mixing Valve,,,1000,US01,W1EX,,XAC,
1,60615611,10,F,02/28/2008,L284M30C1005/FUEL TRANSMITTER,,,1000,US01,W1EX,,XAC,
1,60615612,10,F,02/28/2008,200SGL130Q/STARTER GENERATOR,,,1000,US01,W1EX,,XAC,
1,60615647,10,F,02/25/2008,4503-350-3/Electrical Master Box,,,1000,US01,W1EX,,XAC,
