date,page_title,avg_page_load_time
2020-01-03,Search JUAN GIL | Proof by Southern Glazer's,1669
2020-01-03,Search 89742 | Proof by Southern Glazer's,1880
2020-01-03,Search HIBIKI SUNTORY WHISKY 12 YR 86 | Proof by Southern Glazer's,2208
2020-01-03,Search KAHLUA | Proof by Southern Glazer's,1528
2020-01-19,Cordials & Liqueurs | Type | Spirits | Proof by Southern Glazer's,2756
2020-01-19,LA CREMA CHARDONNAY SONOMA COAST 2017 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,2552
2020-01-19,Search MYERS | Proof by Southern Glazer's,1439
2020-01-19,Search RUBLE | Proof by Southern Glazer's,1065
2020-01-24,KENDALL JACKSON CHARDONNAY VINTNER'S RESERVE CALIFORNIA | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,1303
2020-01-24,Search CAYMUS VINEYARDS | Proof by Southern Glazer's,800
2020-01-24,Tequila & Agave | Type | Spirits | Proof by Southern Glazer's,2384.8571428571427
2020-01-24,Ale | Types | Beer & Other | Proof by Southern Glazer's,2392.666666666667
2020-01-24,Search IRONY | Proof by Southern Glazer's,1781
2020-01-24,Search CAPTAIN MORGAN SPICED RUM ORIGINAL 70 | Proof by Southern Glazer's,2107
2020-01-27,Search ANGEL S ENVY | Proof by Southern Glazer's,4720
2020-01-27,Search LEGENT | Proof by Southern Glazer's,1750
2020-01-27,Search BELLETTI | Proof by Southern Glazer's,1021
2020-01-27,Search BAKERS | Proof by Southern Glazer's,2599
2020-01-27,Search LOMBARDO MARSALA | Proof by Southern Glazer's,2399
2020-01-27,Search MALIBU | Proof by Southern Glazer's,2629.333333333333
2020-01-27,CAOL ILA SINGLE MALT SCOTCH 12 YR 86 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,3120
2020-01-27,Search NIKKA | Proof by Southern Glazer's,1706.5
2020-01-27,Search CASAMIGOS MEZCAL | Proof by Southern Glazer's,2281.5
2020-01-27,Search ARMADOR | Proof by Southern Glazer's,6430.5
2020-01-27,Search SUTTERHOME PINO | Proof by Southern Glazer's,2129
2020-01-27,Search FEVER TREE | Proof by Southern Glazer's,5460.5
2020-01-27,Search 344101 | Proof by Southern Glazer's,1118
2020-01-27,Search NICKEL & NICKEL | Proof by Southern Glazer's,2684
2020-01-27,Search RIEDEL CHAMPAGNE FLUTE | Proof by Southern Glazer's,1359.25
2020-01-27,LAURENCE DE VEYRAC SYRAH/CINSAULT ROSE SELECTION PARCELLAIRE PAYS D'OC 2016 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,1944
2020-01-27,Search DUCKHORN CAB | Proof by Southern Glazer's,1681
2020-01-27,Search BASIL | Proof by Southern Glazer's,3015
2020-01-27,Search 118695 | Proof by Southern Glazer's,2240
2020-01-27,Search MEDLEY | Proof by Southern Glazer's,2900
2020-01-27,Search BAREFOOT | Proof by Southern Glazer's,1807
2020-01-27,Search JIM BEAM BLACK | Proof by Southern Glazer's,2468
2020-01-25,Search JIM HONEY | Proof by Southern Glazer's,1709
2020-01-25,JAMESON BLENDED IRISH WHISKEY COLD BREW 60 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,2399
2020-01-25,Search FERNET BRANCA | Proof by Southern Glazer's,4085
2020-01-25,Search SALDO | Proof by Southern Glazer's,1393
2020-01-25,Search DEWAR | Proof by Southern Glazer's,2742
2020-01-25,CHRISTIAN BROTHERS APPLE FLAVORED BRANDY 70 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,5288
2020-01-25,Search 894937 | Proof by Southern Glazer's,2352
2020-01-25,Search 309209 | Proof by Southern Glazer's,2940
2020-01-25,Search NIGORI | Proof by Southern Glazer's,1029
2020-01-13,TANQUERAY DISTILLED GIN RANGPUR 82.6 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,2850
2020-01-13,Search BAKERS | Proof by Southern Glazer's,2169
2020-01-13,TY KU SOJU 48 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,715
2020-01-13,Search FRANZIA | Proof by Southern Glazer's,2179
2020-01-13,WILD TURKEY STRAIGHT BOURBON LONGBRANCH 86 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,3287
2020-01-13,Search TOGUCHI | Proof by Southern Glazer's,2384
2020-01-13,MCAFEE'S BENCHMARK STRAIGHT BOURBON OLD NO. 8 BRAND 80 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,1082
2020-01-13,OBAN SINGLE MALT SCOTCH 14 YR 86 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,1738
2020-01-13,Search TIGNANELLO TOSCANA ROSSO 2016 | Proof by Southern Glazer's,2512
2020-01-13,Search NAKED TURTLE | Proof by Southern Glazer's,2188
2020-01-13,Search BULLEIT | Proof by Southern Glazer's,2361.6666666666665
2020-01-13,Search 52377 | Proof by Southern Glazer's,1525
2020-01-13,Search DEKUYPER PEPPERMINT | Proof by Southern Glazer's,2286.5
2020-01-13,Search BANANA | Proof by Southern Glazer's,2716
2020-01-13,Search MALBEC | Proof by Southern Glazer's,5472
2020-01-10,Search JOHNNIE WALKER BLUE | Proof by Southern Glazer's,4697
2020-01-10,Tequila & Agave | Type | Spirits | Proof by Southern Glazer's,6430
2020-01-10,EMPRESS 1908 DRY GIN ORIGINAL INDIGO 85 | VariantValueCategory | VariantCategory | Proof by Southern Glazer's,1863
2020-01-10,Search REISETBAUER | Proof by Southern Glazer's,2672
2020-01-17,United States | Countries | Spirits | Proof by Southern Glazer's,1602
2020-01-17,Search CAYMUS | Proof by Southern Glazer's,2606.5
2020-01-17,Search BLADE AND BOW STRAIGHT BOURBON 91 | Proof by Southern Glazer's,2948
