week,state,brandcorp,revenue
2020-09-28,CA-S,CAZADORES,7487
2020-09-28,NY-M,ESPOLON,92659
2020-09-28,LA,LUNAZUL,2370
2020-09-28,CA-S,ESPOLON,7473
2020-09-28,MO,LUNAZUL,9313
2020-09-28,TX,CASAMIGOS,159010
2020-09-28,KY,CASAMIGOS,6093
2020-09-28,NY-U,CASAMIGOS,50525
2020-09-28,KY,CAZADORES,1518
2020-09-28,CO,CASAMIGOS,44684
2020-09-28,HI,LUNAZUL,-101
2020-09-28,DC,CAZADORES,326
2020-09-28,WA,DON JULIO,13396
2020-09-28,FL,CASAMIGOS,142202
2020-09-28,NY-M,CASAMIGOS,227670
2020-09-28,FL,DON JULIO,65074
2020-09-28,CA-S,LUNAZUL,1664
2020-09-28,SD,LUNAZUL,0
2020-09-28,CA-N,CASAMIGOS,46630
2020-09-28,MO,DON JULIO,7290
2020-09-28,NV,ESPOLON,6317
2020-09-28,MD,CASAMIGOS,18434
2020-09-28,SD,CAZADORES,551
2020-09-28,FL,CAZADORES,11914
2020-09-28,MO,CAZADORES,1349
2020-09-28,AZ,CASAMIGOS,8595
2020-09-28,CA-N,ESPOLON,29505
2020-09-28,MD,CAZADORES,-28
2020-09-28,WA,LUNAZUL,7263
2020-09-28,SC,ESPOLON,17250
2020-09-28,CA-N,CAZADORES,8365
2020-09-28,FL,ESPOLON,37423
2020-09-28,CA-N,LUNAZUL,12974
2020-09-28,KY,LUNAZUL,815
2020-09-28,CO,LUNAZUL,12613
2020-09-28,NY-U,ESPOLON,42627
2020-09-28,NE,CAZADORES,-161
2020-09-28,NM,DON JULIO,1190
2020-09-28,IN,LUNAZUL,7193
2020-09-28,NM,ESPOLON,1847
2020-09-28,KY,ESPOLON,1202
2020-09-28,NM,CAZADORES,526
2020-09-28,KS,LUNAZUL,4144
2020-09-28,MN,CAZADORES,64
2020-09-28,IN,DON JULIO,139353
2020-09-28,IL,LUNAZUL,8894
2020-09-28,WA,CAZADORES,9758
2020-09-28,TX,CAZADORES,13629
2020-09-28,NE,LUNAZUL,376
2020-09-28,AZ,ESPOLON,1873
2020-09-28,NV,CASAMIGOS,36849
2020-09-28,TX,LUNAZUL,21027
2020-09-28,MO,CASAMIGOS,8047
2020-09-28,CA-S,CASAMIGOS,123925
2020-09-28,SD,ESPOLON,929
2020-09-28,LA,DON JULIO,5801
2020-09-28,DC,CASAMIGOS,23144
2020-09-28,NY-M,CAZADORES,11152
2020-09-28,ND,CASAMIGOS,2081
2020-09-28,DE,CAZADORES,498
2020-09-28,DE,CASAMIGOS,7621
2020-09-28,NE,DON JULIO,-279
2020-09-28,KY,DON JULIO,40307
2020-09-28,WA,ESPOLON,17031
2020-09-28,CO,CAZADORES,6001
2020-09-28,AR,CASAMIGOS,-74
2020-09-28,LA,ESPOLON,7590
2020-09-28,MN,LUNAZUL,2722
2020-09-28,DC,ESPOLON,15350
2020-09-28,HI,CASAMIGOS,1614
2020-09-28,IN,CAZADORES,6724
2020-09-28,DC,LUNAZUL,60
2020-09-28,NY-M,LUNAZUL,16374
2020-09-28,AZ,LUNAZUL,585
2020-09-28,MN,CASAMIGOS,13569
2020-09-28,IL,CASAMIGOS,60037
2020-09-28,MD,LUNAZUL,1345
2020-09-28,MD,ESPOLON,5557
2020-09-28,NE,ESPOLON,261
2020-09-28,NY-M,DON JULIO,71132
2020-09-28,SC,CAZADORES,528
2020-09-28,WA,CASAMIGOS,5393
2020-09-28,KS,CASAMIGOS,6840
2020-09-28,CA-N,DON JULIO,198974
2020-09-28,NV,DON JULIO,92119
2020-09-28,SC,CASAMIGOS,11551
2020-09-28,IL,CAZADORES,15569
2020-09-28,AR,ESPOLON,7082
2020-09-28,NE,CASAMIGOS,1104
2020-09-28,NY-U,DON JULIO,14842
2020-09-28,TX,DON JULIO,21123
2020-09-28,MN,DON JULIO,0
2020-09-28,ND,CAZADORES,199
2020-09-28,AZ,CAZADORES,356
2020-09-28,CA-S,DON JULIO,256868
2020-09-28,TX,ESPOLON,53167
2020-09-28,SD,CASAMIGOS,770
2020-09-28,DE,ESPOLON,1396
2020-09-28,NY-U,CAZADORES,878
2020-09-28,LA,CASAMIGOS,5268
2020-09-28,IN,CASAMIGOS,8102
2020-09-28,HI,ESPOLON,1862
2020-09-28,HI,DON JULIO,1585
2020-09-28,NM,CASAMIGOS,1917
2020-09-28,NY-U,LUNAZUL,4616
