MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,1557110,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557111,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557112,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557113,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557114,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557114,2,,0,,N,0,,0,20,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1557115,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557116,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557117,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557118,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557119,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557120,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557121,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557122,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557123,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557124,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557125,1,,0,,N,0,,0,10,US00,10005778,,US02,MMQA001,QUALITY,,,
1,1557167,1,0,1,1,N,0,50338688,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1557167,2,0,2,1,N,0,50338688,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1557167,3,0,3,1,N,0,50338688,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1557167,4,0,4,1,N,0,50338688,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1557167,5,0,5,1,N,0,50338688,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
