week,product_brand,unique_purchases,product_detail_views,product_add_to_cart,product_removes_from_cart,product_checkouts
2020-12-27,CABRITO,0,0,1,0,0
2020-12-27,CODIGO 1530,3,6,8,1,33
2020-12-27,EL TESORO,1,7,2,0,9
2020-12-27,DELEON,1,2,2,1,10
2020-12-27,CHAVO MALO,0,2,0,0,0
2020-12-27,HAVANA CLUB,0,3,1,1,1
2020-12-27,LUNAZUL,21,15,17,2,156
2020-12-27,CHINACO,0,1,0,0,0
2020-12-27,DON JULIO,35,53,80,28,351
2020-12-27,JAJA,0,0,1,1,2
2020-12-27,CASAMIGOS,64,50,54,15,469
2020-12-27,CASA DRAGONES,1,16,10,2,33
2020-12-27,FORTALEZA,1,0,0,0,3
2020-12-27,CORAZON DE AGAVE,0,1,1,0,2
2020-12-27,LA ADELITA,0,1,0,0,0
2020-12-27,CINCORO,2,5,3,0,11
2020-12-27,EXOTICO,1,1,1,1,2
2020-12-27,CABO WABO,2,3,5,0,28
2020-12-27,MI CAMPO,2,2,4,0,21
2020-12-27,TERRALTA,0,0,0,0,2
2020-12-27,CAZADORES,7,8,7,1,55
2020-12-27,ESPOLON,24,24,24,1,213
2020-12-27,RANCHO ALEGRE,0,0,2,0,0
2021-01-03,EXOTICO,25,12,19,4,154
2021-01-03,PIEDRA AZUL,0,3,1,1,1
2021-01-03,E. CUARENTA,0,0,1,2,9
2021-01-03,BRIBON,1,0,1,0,5
2021-01-03,TERRALTA,2,2,2,1,39
2021-01-03,LUNAZUL,215,79,147,19,1071
2021-01-03,CAZADORES,76,48,71,18,580
2021-01-03,CHAMUCOS,3,0,0,0,14
2021-01-03,CORAZON DE AGAVE,9,3,7,1,50
2021-01-03,CHAVO MALO,0,3,1,0,1
2021-01-03,EL TEQUILENO,0,3,0,0,0
2021-01-03,DON JULIO,401,313,577,141,3060
2021-01-03,CASA DRAGONES,29,75,41,9,258
2021-01-03,JAJA,6,4,8,3,39
2021-01-03,PROSPERO,1,0,1,1,63
2021-01-03,CENOTE,1,0,1,0,6
2021-01-03,SOCORRO,0,2,0,0,0
2021-01-03,CASAMIGOS,884,488,638,130,5947
2021-01-03,DOS PRIMOS,0,1,0,0,0
2021-01-03,LA ADELITA,1,2,2,0,7
2021-01-03,FLECHA AZUL,0,3,0,0,0
2021-01-03,ESPOLON,330,178,223,113,2342
2021-01-03,HACIENDA VIEJA,0,1,0,0,0
2021-01-03,CABRITO,4,1,2,0,53
2021-01-03,CINCORO,9,15,4,4,60
2021-01-03,OLD MEXICO,2,1,3,1,12
2021-01-03,CENTINELA,0,2,0,0,0
2021-01-03,CABO WABO,59,25,70,10,342
2021-01-03,ORO AZUL,0,1,0,0,0
2021-01-03,UNO POR FAVOR,0,2,0,0,0
2021-01-03,DON FULANO,1,0,1,0,2
2021-01-03,EL MAYOR,3,3,4,0,19
2021-01-03,HAVANA CLUB,12,11,24,4,138
2021-01-03,CHINACO,0,2,0,0,0
2021-01-03,MI CAMPO,20,6,24,4,160
2021-01-03,CODIGO 1530,28,25,23,4,201
2021-01-03,CACTUS JACK,0,1,0,0,0
2021-01-03,VOLCAN DE MI TIERRA,5,1,5,0,20
2021-01-03,FORTALEZA,2,1,1,0,10
2021-01-03,RON BARCELO,1,1,1,0,3
2021-01-03,EL TESORO,15,62,32,6,139
2021-01-03,RANCHO ALEGRE,9,2,7,0,63
2021-01-03,DELEON,5,11,6,1,31
2021-01-03,PASOTE,0,1,0,0,1
2021-01-03,MATADOR,5,3,7,0,20
2021-01-10,MR. BOSTON,1,1,1,0,9
2021-01-10,CORAZON DE AGAVE,6,2,5,1,30
2021-01-10,EL TEQUILENO,0,1,0,0,0
2021-01-10,MI CAMPO,27,7,30,3,121
2021-01-10,DULCE VIDA,2,2,3,0,18
2021-01-10,EL JEFE,0,18,0,0,0
2021-01-10,RANCHO ALEGRE,1,3,1,0,2
2021-01-10,CHAVO MALO,0,1,1,1,4
2021-01-10,CAZADORES,72,55,48,15,412
2021-01-10,CASA 1921,0,1,0,0,0
2021-01-10,BUEN AMIGO,0,1,0,0,0
2021-01-10,ESPOLON,359,245,286,129,2662
2021-01-10,MATADOR,6,1,8,2,44
2021-01-10,TERRALTA,1,1,0,0,2
2021-01-10,AZUNIA,0,1,0,0,0
2021-01-10,CASA DRAGONES,37,90,54,16,344
2021-01-10,CASAMIGOS,827,557,609,128,5693
2021-01-10,HAVANA CLUB,17,4,18,3,122
2021-01-10,LUNAZUL,200,91,132,22,1120
2021-01-10,BRIBON,0,1,0,0,0
2021-01-10,100 ANOS,1,0,1,0,8
2021-01-10,6 DEGREE,0,1,0,0,0
2021-01-10,EL MAYOR,0,2,0,0,0
2021-01-10,FLECHA AZUL,1,1,1,0,3
2021-01-10,EL TESORO,14,34,23,6,122
2021-01-10,OLD MEXICO,1,0,1,0,2
2021-01-10,DON FULANO,0,0,1,0,3
2021-01-10,CORRALEJO,0,0,0,0,8
2021-01-10,PIEDRA AZUL,1,1,1,0,2
2021-01-10,SOCORRO,1,1,0,0,11
2021-01-10,EXOTICO,20,18,17,2,155
2021-01-10,CHINACO,0,3,1,0,0
2021-01-10,CABRITO,1,0,0,0,41
2021-01-10,CODIGO 1530,23,27,25,6,209
2021-01-10,CENTINELA,1,3,0,0,3
2021-01-10,FORTALEZA,1,2,1,0,3
2021-01-10,PEZ GORDO,1,0,1,0,2
2021-01-10,LA HISTORIA DE NOSOTROS,1,0,1,0,4
2021-01-10,RON BARCELO,4,4,4,1,45
2021-01-10,DON JULIO,673,311,826,104,4032
2021-01-10,VOLCAN DE MI TIERRA,5,4,1,0,36
2021-01-10,REVEL,2,1,1,0,9
2021-01-10,CACTUS JACK,2,0,2,0,5
2021-01-10,CABO WABO,68,42,80,7,460
2021-01-10,CHAMUCOS,1,0,0,0,2
2021-01-10,DOS PRIMOS,0,2,0,0,0
2021-01-10,CINCORO,5,8,3,1,39
2021-01-10,GRAND LEYENDA,1,0,1,0,2
2021-01-10,UNO POR FAVOR,1,0,1,0,4
2021-01-10,DELEON,4,12,6,4,40
2021-01-10,JAJA,8,4,8,1,83
2021-01-10,CENOTE,2,0,2,0,8
2021-01-10,E. CUARENTA,2,1,1,0,16
2021-01-10,EL TESORO DE MI TIERRA,0,1,0,0,0
2021-01-10,LA ADELITA,0,0,1,0,3
2021-01-17,PARTIDA,2,0,1,0,7
2021-01-17,CABRITO,5,0,2,0,22
2021-01-17,UNO POR FAVOR,1,0,0,0,10
2021-01-17,RON BARCELO,2,3,3,0,20
2021-01-17,BRIBON,2,1,2,0,7
2021-01-17,LA HISTORIA DE NOSOTROS,1,0,1,0,2
2021-01-17,CENTINELA,0,1,0,0,0
2021-01-17,MI CAMPO,29,8,32,5,161
2021-01-17,VOLCAN DE MI TIERRA,8,3,6,0,38
2021-01-17,CORRALEJO,0,0,0,2,4
2021-01-17,EL TEQUILENO,2,1,1,0,7
2021-01-17,E. CUARENTA,1,3,1,0,6
2021-01-17,BANDERO,1,0,0,0,3
2021-01-17,PIEDRA AZUL,0,1,0,0,0
2021-01-17,CACTUS JACK,0,0,1,1,1
2021-01-17,CHINACO,1,1,0,0,16
2021-01-17,ESPOLON,364,272,299,106,2654
