CLIENT,ADDRNUMBER,DATE_FROM,NATION,DATE_TO,TITLE,NAME1,NAME2,NAME3,NAME4
1,50005033,01/01/0001,,12/31/9999,,Sikorsky Export Corporation,(United Technologies Sikorsky),,
1,50005034,01/01/0001,,12/31/9999,,Sikorsky Export Corporation,(United Technologies Sikorsky),,
1,50005035,01/01/0001,,12/31/9999,,Sikorsky Export Corporation,(United Technologies Sikorsky),,
1,50005036,01/01/0001,,12/31/9999,,Sikorsky Export Corporation,(United Technologies Sikorsky),,
1,50009114,01/01/0001,,12/31/9999,,SIGMA AIR CONDITIONING INC,,,
1,50009137,01/01/0001,,12/31/9999,3,Textron Lycoming,,,
1,50009139,01/01/0001,,12/31/9999,3,Allison Gaz Turbine,,,
1,50009142,01/01/0001,,12/31/9999,,Aviparts INC,,,
1,50009148,01/01/0001,,12/31/9999,3,COMPOSITE TECHNOLOGY INC,,,
1,50009176,01/01/0001,,12/31/9999,,Helicopter Management Services INC,Supprim�,,
1,50009209,01/01/0001,,12/31/9999,,S.B. AVIONCS INC,,,
1,50009230,01/01/0001,,12/31/9999,,MONOGRAM SANITATION,,,
1,50009283,01/01/0001,,12/31/9999,,TELEDYNE HYDRA POWER,,,
1,50009293,01/01/0001,,12/31/9999,,AIRCRAFT TECHNICAL PUBLISHERS,,,
1,50009310,01/01/0001,,12/31/9999,,SCHNELLER INC.,,,
1,50009334,01/01/0001,,12/31/9999,,OMNIFLIGHT HELICOPTERS INC.,,,
1,50009368,01/01/0001,,12/31/9999,,POLYPLASTEX INTERNATIONAL INC,,,
1,50009380,01/01/0001,,12/31/9999,3,Rockwell International Corp.,do not use refer to 56005134,,
1,50009451,01/01/0001,,12/31/9999,,INSCO,,,
1,50009490,01/01/0001,,12/31/9999,3,Sikorsky Aircraft Corporation,,,
1,50009543,01/01/0001,,12/31/9999,,Chrysler Technologies,Supprim�,,
1,50009577,01/01/0001,,12/31/9999,,KAMATICS CORPORATION,Supprim� refer to Z098,,
1,50009613,01/01/0001,,12/31/9999,,WALT DISNEY IMAGINEERING,,,
1,50009860,01/01/0001,,12/31/9999,3,Era Aviation,,,
1,50009987,01/01/0001,,12/31/9999,,METRO AVIATION INC,do not use refer to 56002933,,
1,50010014,01/01/0001,,12/31/9999,,Allied Signal Engines,,,
1,50010169,01/01/0001,,12/31/9999,,MBB OF AMERICA,Supprim� refer to Z098,,
1,50010179,01/01/0001,,12/31/9999,,AIRBUS HELICOPTERS INC.,,,
1,50010214,01/01/0001,,12/31/9999,3,MASCO SERVICE CORP,,,
1,50010229,01/01/0001,,12/31/9999,,Austin Jet International,,,
1,50010250,01/01/0001,,12/31/9999,,US Airways,Mrs.Megan McKee,Aircraft & Technical Procurement,PIT H230
1,50010408,01/01/0001,,12/31/9999,3,"AIRBUS HELICOPTERS, INC.",do not use refer to 55813000,,
1,50010476,01/01/0001,,12/31/9999,,Metro Aviation Inc.,1400 Airport Rd.,Hangar # 120,
1,50010533,01/01/0001,,12/31/9999,,ETS Executive Technical Services,,,
1,50010567,01/01/0001,,12/31/9999,,"AIRBUS HELICOPTERS, INC.",Spare Parts,,
1,50010617,01/01/0001,,12/31/9999,,ERA Aviation Inc.,Lake Charles Regional Airport,Attn.:Tony Fontenot,
1,50010636,01/01/0001,,12/31/9999,3,Artex Aircraft Supplies INC **,,,
1,50010651,01/01/0001,,12/31/9999,3,Honeywell INC,,,
1,50010652,01/01/0001,,12/31/9999,3,Globe Motors a Div Of Labinal,,,
1,50010665,01/01/0001,,12/31/9999,,Honeywell (ex Allied Signal ),,,
1,50010666,01/01/0001,,12/31/9999,3,ROCKY MOUNTAIN HOLDINGS LLC,DBA ROCKY MOUNTAIN HELICOPTERS,,
1,50010677,01/01/0001,,12/31/9999,3,Smiths Industries Aerospace,,,
1,50010695,01/01/0001,,12/31/9999,3,Aerotech World Trade Corporation,,,
1,50010736,01/01/0001,,12/31/9999,,Keith Products Inc,do not use refer to 55002074,,
1,50010739,01/01/0001,,12/31/9999,3,Keith Products INC,,,
1,50010756,01/01/0001,,12/31/9999,3,GOODRICH CORPORATION **,,,
1,50010757,01/01/0001,,12/31/9999,,LUCAS AEROSPACE CARGO SYSTEMS,,,
1,50010765,01/01/0001,,12/31/9999,,BFGoodrich Aerospace Aircraft,Evacuation Systems Division,,
1,50010766,01/01/0001,,12/31/9999,,UNITED INSTRUMENTS INC,Repair Station,,
1,50010813,01/01/0001,,12/31/9999,,METHODIST HOSPITAL,AERO SERVICES,ATTN.: RUSTY RODGERS,
1,50010816,01/01/0001,,12/31/9999,,TRIMBLE NAVIGATION INC. **,RUSSELL L GORDON,,
1,50010825,01/01/0001,,12/31/9999,3,Honeywell Grimes Aerospace,do not use refer to Z098,,
1,50012654,01/01/0001,,12/31/9999,,ROTOR & WING,READER SERVICE MANAGEMENT DEP.,,
1,50012713,01/01/0001,,12/31/9999,,ARROW ELECTRONICS,INTERNATIONAL INC,,
1,50012736,01/01/0001,,12/31/9999,,FUTURE METALS INC,,,
1,50012738,01/01/0001,,12/31/9999,,UNIREX INC,,,
1,50012756,01/01/0001,,12/31/9999,,BEECHCRAFT WEST INC,,,
1,50012841,01/01/0001,,12/31/9999,,MONOGRAM AEROSPACE FASTENERS,A DIV OF MONOGRAM INDUSTRIES,,
1,50012930,01/01/0001,,12/31/9999,,TECHNITRON INTERNATIONAL INC,SUB OF DYNEER CORP,,
1,50012975,01/01/0001,,12/31/9999,,KIERULFF ELECTRONICS INC,,,
