	MANDT	AUFNR				POSNR		PSOBS	QUNUM	QUPOS	PROJN				PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS
	001	10005327247				0001		E		000					464088843	06/24/2014	06/13/2014		000000	0000		           0.000	          10.000	           0.000	            0.000	PC	PC
	001	10005327500				0001		E		000					467808575	06/24/2014	06/13/2014		000000	0000		           0.000	          14.000	          16.000	-2.000	PC	PC
	001	10005348979				0001		E		000					472833669	07/08/2014	07/01/2014		000000	0000		           0.000	           5.000	           5.000	            0.000	PC	PC
	001	10005366457				0001		E		000					475450031	07/28/2014	07/21/2014		000000	0000		           0.000	          98.000	          82.000	            6.000	PC	PC
	001	10005366464				0001		E		000					456859492	07/29/2014	07/22/2014		000000	0000		           0.000	          48.000	          56.000	-8.000	PC	PC
	001	10005366481				0001		E		000					475450747	07/29/2014	07/22/2014		000000	0000		           0.000	          48.000	          52.000	-4.000	PC	PC
	001	10005366513				0001		E		000					474734673	07/29/2014	07/22/2014		000000	0000		           0.000	          10.000	           9.000	            1.000	PC	PC
	001	10005366559				0001		E		000					475381385	07/23/2014	06/19/2014		000000	0000		           0.000	          10.000	          10.000	            0.000	PC	PC
	001	10006349928				0001		E		000	DP.320099.2.1.0.0				704569467	07/06/2016	07/06/2016		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006349931				0001		E		000	DP.320099.2.1.0.0				704569479	07/06/2016	07/06/2016		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006349934				0001		E		000	DP.320099.2.1.0.0				704569704	07/06/2016	07/06/2016		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006349936				0001		E		000					704570658	07/26/2016	07/19/2016		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006350235				0001		E		000					704572613	07/29/2016	07/22/2016		000000	0000		           0.000	          16.000	           0.000	            0.000	PC	PC
	001	10006350271				0001		E		000	DP.332003.2.1.0.0					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006350310				0001		E		000					653182644	08/26/2016	06/17/2016		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10006359290				0001		E		000					706676316	08/02/2016	07/26/2016		000000	0000		           0.000	          22.000	          23.000	-1.000	PC	PC
	001	10006359293				0001		E		000					697772430	08/03/2016	07/27/2016		000000	0000		           0.000	          20.000	          20.000	            0.000	PC	PC
	001	10006359294				0001		E		000					702642253	08/03/2016	07/27/2016		000000	0000		           0.000	          46.000	          46.000	            0.000	PC	PC
	001	10006359314				0001		E		000					702753138	08/02/2016	07/26/2016		000000	0000		           0.000	          40.000	           0.000	            0.000	PC	PC
	001	10006360009				0001		E		000					705087409	08/03/2016	07/27/2016		000000	0000		           0.000	          24.000	          22.000	            2.000	PC	PC
	001	10006396239				0001		E		000	DD.0024.0.2.0.9.0.1					00/00/0000	00/00/0000		000000	0000		           0.000	          10.000	           8.000	            2.000	PC	PC
	001	10006396308				0001		E		000					717536185	09/09/2016	07/20/2016		000000	0000		           0.000	          50.000	          50.000	            0.000	PC	PC
	001	10006396309				0001		E		000					717536180	09/09/2016	07/20/2016		000000	0000		           0.000	          50.000	          50.000	            0.000	PC	PC
	001	10006408867				0001		E		000					719704769	09/15/2016	09/08/2016		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006570126				0001		E		000					755584947	01/09/2017	12/19/2016		000000	0000		           0.000	           4.000	           5.000	-1.000	PC	PC
	001	10006570336				0001		E		000						00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006571785				0001		E		000	EE.GWS145.D.01.000002.D				750871611	01/30/2017	01/23/2017		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10006571796				0001		E		000					744002723	01/10/2017	12/20/2016		000000	0000		           0.000	          69.000	          69.000	            0.000	PC	PC
	001	10006571798				0001		E		000					750918444	12/23/2016	12/16/2016		000000	0000		           0.000	          60.000	          59.000	            1.000	PC	PC
	001	10006791783				0001		E		000					797337417	05/24/2017	05/17/2017		000000	0000		           0.000	          28.000	           0.000	            0.000	PC	PC
	001	10007131864				0001		E		000						00/00/0000	00/00/0000		000000	0000		           0.000	          48.000	          48.000	            0.000	PC	PC
	001	10007433595				0001		E		000					961168435	11/05/2018	10/25/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10007433598				0001		E		000					958922818	11/09/2018	10/31/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10007433599				0001		E		000					958922821	11/09/2018	10/31/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10008068438				0001		E		000	EP.515088.D.R.BV.AI				1129668915	02/04/2020	02/04/2020		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10008068439				0001		E		000	EP.515088.D.R.BV.AI				1129668929	02/04/2020	02/04/2020		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10008068441				0001		E		000	EP.515088.D.R.BV.AI				1129668942	02/04/2020	02/04/2020		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10008068473				0001		E		000	EP.515088.D.R.BV.AI				1129664573	02/07/2020	02/07/2020		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10008403241				0001		E		000	EP.440040.D.6.RA.D2				1219433112	12/10/2020	12/03/2020		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	10008403298				0001		E		000					1219483431	10/22/2020	10/15/2020		000000	0000		           0.000	         100.000	           0.000	            0.000	PC	PC
	001	10500489062				0001		E		000	UP.309758.3.2.0.0				706618671	08/04/2016	07/28/2016		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10500489064				0001		E		000	UP.309758.3.2.0.0				706618862	08/11/2016	08/04/2016		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
